title,author,price,stock,category
Nhà giả kim,Paulo Coelho,89000,15,Văn học nước ngoài
Đắc Nhân Tâm,Dale Carnegie,99000,25,Kỹ năng sống
Tôi thấy hoa vàng trên cỏ xanh,Nguyễn Nhật Ánh,75000,20,Văn học Việt Nam
Chiến tranh và hòa bình,Tolstoy,199000,3,Văn học kinh điển
Lập trình Python căn bản,John Smith,120000,10,Lập trình
Dế Mèn phiêu lưu ký,Tô Hoài,65000,18,Văn học thiếu nhi
Harry Potter và Hòn đá Phù thủy,J.K. Rowling,150000,12,Fantasy
Harry Potter và Phòng chứa bí mật,J.K. Rowling,155000,10,Fantasy
Harry Potter và Tên tù nhân ngục Azkaban,J.K. Rowling,160000,8,Fantasy
Chí Phèo,Nam Cao,45000,30,Văn học Việt Nam
Số đỏ,Vũ Trọng Phụng,55000,20,Văn học Việt Nam
Tuổi trẻ đáng giá bao nhiêu,Rosie Nguyễn,105000,22,Kỹ năng sống
Cà phê cùng Tony,Tony Buổi Sáng,90000,15,Kỹ năng sống
Thói quen nguyên tử,James Clear,145000,25,Phát triển bản thân
7 Thói quen hiệu quả,Stephen Covey,170000,10,Kỹ năng sống
Tư duy nhanh và chậm,Daniel Kahneman,180000,12,Tâm lý học
Thiên tài bên trái kẻ điên bên phải,Tăng Hà Nam,99000,15,Tâm lý học
Sapiens: Lược sử loài người,Yuval Noah Harari,220000,8,Lịch sử
Homo Deus: Lược sử tương lai,Yuval Noah Harari,230000,7,Lịch sử
21 Bài học cho thế kỷ 21,Yuval Noah Harari,210000,6,Lịch sử
Giáo trình C++ nâng cao,David Brown,150000,10,Lập trình
Clean Code,Robert C. Martin,250000,5,Lập trình
Design Patterns,Erich Gamma,270000,4,Lập trình
Artificial Intelligence: A Modern Approach,Stuart Russell,350000,3,Khoa học máy tính
Deep Learning,Ian Goodfellow,400000,2,Khoa học máy tính
Trí tuệ Do Thái,Erin Gruwell,120000,10,Kinh tế
Cha giàu cha nghèo,Robert Kiyosaki,130000,18,Kinh tế
Bí mật tư duy triệu phú,T. Harv Eker,135000,20,Kinh tế
Người giàu nhất thành Babylon,George Clason,95000,15,Kinh tế
Hành trình về phương Đông,Baird T. Spalding,115000,12,Tôn giáo - Tâm linh
Những tấm lòng cao cả,Edmondo De Amicis,65000,25,Văn học thiếu nhi
Không gia đình,Hector Malot,99000,14,Văn học thiếu nhi
Hoàng tử bé,Antoine de Saint-Exupéry,80000,22,Văn học thiếu nhi
Những kẻ khốn khổ,Victor Hugo,180000,8,Văn học kinh điển
Ba người lính ngự lâm,Alexandre Dumas,140000,6,Văn học kinh điển
Đắc Nhân Tâm,Dale Carnegie,99000,25,Kỹ năng sống
